2B,3B,AB,AVG,G,H,HR,PA,R,RBI,SAC,SF,TB,team_filter,선수명,순위,팀명
26,8,526,0.293,141,154,15,609,95,65,4,2,241,NC,김주원,4,NC
17,0,377,0.289,109,109,35,426,60,92,0,12,231,NC,데이비슨,5,NC
23,1,373,0.287,121,107,8,429,41,65,1,5,156,NC,박건우,6,NC
3,0,120,0.275,91,33,0,155,40,11,4,1,36,NC,최정원,7,NC
7,1,253,0.265,100,67,2,280,21,27,9,4,82,NC,서호철,8,NC
0,0,4,0.250,15,1,0,5,8,1,0,0,1,NC,박영빈,9,NC
0,0,12,0.250,14,3,0,13,6,1,0,0,3,NC,오태양,9,NC
20,1,294,0.245,103,72,3,331,26,31,1,3,103,NC,이우성,11,NC
24,0,349,0.244,133,85,6,444,55,37,6,2,127,NC,권희동,12,NC
18,2,419,0.243,139,102,16,487,62,53,2,2,172,NC,김휘집,13,NC
10,1,350,0.237,124,83,18,402,51,53,2,2,149,NC,김형준,14,NC
9,3,252,0.234,126,59,6,284,47,28,6,4,92,NC,천재환,15,NC
5,0,154,0.234,66,36,3,178,14,23,0,0,50,NC,오영수,16,NC
13,3,403,0.233,123,94,6,438,58,43,2,5,131,NC,최원준,17,NC
2,0,54,0.204,52,11,1,60,12,4,1,0,16,NC,박시원,18,NC
0,0,10,0.200,16,2,0,11,4,0,0,0,2,NC,고승완,19,NC
1,0,15,0.200,13,3,0,15,0,2,0,0,4,NC,송승환,19,NC
5,0,112,0.196,58,22,3,137,17,21,4,2,36,NC,한석현,21,NC
0,0,27,0.185,16,5,0,31,2,4,0,0,5,NC,한재환,22,NC
4,1,77,0.182,59,14,1,98,9,8,6,0,23,NC,도태훈,23,NC
0,0,73,0.164,61,12,0,85,16,3,4,1,12,NC,홍종표,24,NC
3,0,86,0.163,48,14,2,93,8,10,0,1,23,NC,박세혁,25,NC
3,0,49,0.143,33,7,0,60,2,6,1,0,10,NC,안중열,26,NC
0,0,17,0.118,8,2,2,19,2,3,0,0,8,NC,박한결,27,NC
0,0,1,0.000,1,0,0,1,0,0,0,0,0,NC,김범준,28,NC
0,0,0,-,1,0,0,0,0,0,0,0,0,NC,김영규,28,NC
0,0,0,-,1,0,0,0,0,0,0,0,0,NC,김태훈,28,NC
0,0,0,-,3,0,0,0,0,0,0,0,0,NC,류진욱,28,NC
0,0,0,-,2,0,0,0,0,0,0,0,0,NC,배재환,28,NC
0,0,0,-,2,0,0,0,0,0,0,0,0,NC,소이현,28,NC
0,0,0,-,2,0,0,0,0,0,0,0,0,NC,손주환,28,NC
0,0,6,0.000,4,0,0,7,0,1,0,1,0,NC,안인산,28,NC
0,0,0,-,1,0,0,0,0,0,0,0,0,NC,전사민,28,NC
0,0,3,0.667,6,2,0,3,1,1,0,0,2,롯데,박건우,1,롯데
8,2,129,0.341,48,44,3,148,21,19,0,1,65,롯데,박찬형,2,롯데
43,1,569,0.327,143,186,13,639,75,107,0,9,270,롯데,레이예스,3,롯데
26,1,406,0.296,113,120,8,468,50,70,3,6,172,롯데,전준우,4,롯데
15,0,329,0.289,100,95,5,366,39,34,10,2,125,롯데,전민재,5,롯데
1,0,14,0.286,9,4,1,16,2,3,0,0,8,롯데,박재엽,6,롯데
21,1,330,0.282,97,93,9,399,54,53,3,6,143,롯데,윤동희,7,롯데
14,2,226,0.274,107,62,2,263,42,22,3,0,86,롯데,한태양,8,롯데
18,0,303,0.274,110,83,5,350,35,38,3,5,116,롯데,유강남,9,롯데
21,2,465,0.273,120,127,4,534,71,45,6,4,164,롯데,고승민,10,롯데
1,2,63,0.270,28,17,1,69,11,5,0,0,25,롯데,노진혁,11,롯데
3,3,248,0.262,117,65,0,284,51,25,7,2,74,롯데,장두성,12,롯데
4,4,244,0.258,78,63,1,271,43,22,3,2,78,롯데,황성빈,13,롯데
12,0,325,0.252,96,82,4,372,39,41,11,4,106,롯데,손호영,14,롯데
13,0,213,0.244,95,52,3,253,25,35,2,1,74,롯데,김민성,15,롯데
7,4,132,0.242,98,32,3,153,20,23,3,1,56,롯데,이호준,16,롯데
12,2,325,0.231,104,75,9,389,40,44,3,1,118,롯데,나승엽,17,롯데
4,1,89,0.225,92,20,0,114,19,6,4,0,26,롯데,김동혁,18,롯데
11,0,184,0.217,76,40,2,199,14,11,2,0,57,롯데,정훈,19,롯데
3,0,84,0.190,53,16,0,92,10,5,2,0,19,롯데,박승욱,20,롯데
4,1,129,0.186,93,24,1,152,4,15,4,0,33,롯데,정보근,21,롯데
0,0,12,0.167,12,2,0,13,1,0,1,0,2,롯데,신윤후,22,롯데
0,0,6,0.167,8,1,0,7,1,1,0,0,1,롯데,최항,22,롯데
0,0,59,0.153,50,9,1,66,6,3,2,0,12,롯데,손성빈,24,롯데
0,0,7,0.143,12,1,0,9,1,0,0,0,1,롯데,조세진,25,롯데
0,0,17,0.059,19,1,0,19,1,1,0,1,1,롯데,한승현,26,롯데
0,0,0,-,1,0,0,0,0,0,0,0,0,롯데,강성우,27,롯데
0,0,1,0.000,1,0,0,1,0,0,0,0,0,롯데,강승구,27,롯데
0,0,0,-,1,0,0,0,0,0,0,0,0,롯데,구승민,27,롯데
0,0,0,-,1,0,0,0,0,0,0,0,0,롯데,김강현,27,롯데
0,0,0,-,1,0,0,0,0,0,0,0,0,롯데,김상수,27,롯데
0,0,0,-,8,0,0,0,0,0,0,0,0,롯데,김원중,27,롯데
0,0,0,-,1,0,0,0,0,0,0,0,0,롯데,박준우,27,롯데
0,0,0,-,1,0,0,0,0,0,0,0,0,롯데,박진,27,롯데
0,0,0,-,1,0,0,0,0,0,0,0,0,롯데,윤성빈,27,롯데
0,0,0,-,4,0,0,0,0,0,0,0,0,롯데,이인한,27,롯데
0,0,1,0.000,2,0,0,1,0,0,0,0,0,롯데,이태경,27,롯데
0,0,0,-,2,0,0,0,0,0,0,0,0,롯데,정철원,27,롯데
0,0,0,-,3,0,0,0,0,0,0,0,0,롯데,정현수,27,롯데
18,1,269,0.316,82,85,3,305,31,43,2,1,114,KIA,김선빈,1,KIA
9,0,110,0.309,30,34,7,122,20,27,0,2,64,KIA,김도영,2,KIA
30,1,461,0.308,130,142,24,541,72,85,0,5,246,KIA,최형우,3,KIA
2,0,115,0.296,46,34,3,123,13,16,0,3,45,KIA,고종욱,4,KIA
18,2,505,0.287,131,145,5,583,74,40,8,5,182,KIA,박찬호,5,KIA
26,3,319,0.279,101,89,6,367,43,39,8,1,139,KIA,김호령,6,KIA
2,0,62,0.274,53,17,0,75,17,4,0,0,19,KIA,박정우,7,KIA
16,0,254,0.272,78,69,9,300,27,35,0,1,112,KIA,나성범,8,KIA
7,0,141,0.270,37,38,6,151,23,15,2,0,63,KIA,윤도현,9,KIA
1,2,117,0.265,47,31,2,134,14,16,0,1,42,KIA,김석환,10,KIA
17,1,421,0.264,120,111,18,458,58,53,0,0,184,KIA,오선우,11,KIA
10,1,236,0.258,100,61,5,274,20,31,8,3,88,KIA,김태군,12,KIA
0,0,8,0.250,13,2,0,9,1,0,0,0,2,KIA,정현창,13,KIA
1,0,8,0.250,5,2,0,9,1,0,0,0,3,KIA,주효상,13,KIA
4,0,180,0.239,129,43,2,208,29,14,5,0,53,KIA,김규성,15,KIA
1,0,21,0.238,15,5,0,23,3,0,0,0,6,KIA,한승택,16,KIA
19,1,414,0.232,116,96,33,474,70,81,0,6,216,KIA,위즈덤,17,KIA
12,1,232,0.228,99,53,7,264,33,26,0,3,88,KIA,한준수,18,KIA
7,0,142,0.218,47,31,0,153,11,17,0,0,38,KIA,변우혁,19,KIA
5,0,94,0.202,69,19,1,105,11,6,3,0,27,KIA,박민,20,KIA
3,0,53,0.189,18,10,1,57,3,8,0,1,16,KIA,황대인,21,KIA
0,0,6,0.167,4,1,0,6,0,0,0,0,1,KIA,최정용,22,KIA
3,0,93,0.161,37,15,1,113,11,9,1,1,21,KIA,이창진,23,KIA
1,0,22,0.136,10,3,1,26,1,2,2,0,7,KIA,서건창,24,KIA
0,0,35,0.086,21,3,0,40,5,0,0,0,3,KIA,정해원,25,KIA
1,0,55,0.073,54,4,0,62,9,3,0,1,5,KIA,박재현,26,KIA
0,0,1,0.000,2,0,0,1,0,0,0,0,0,KIA,김기훈,27,KIA
0,0,0,-,1,0,0,0,0,0,0,0,0,KIA,김대유,27,KIA
0,0,0,-,3,0,0,0,0,0,0,0,0,KIA,김시훈,27,KIA
0,0,7,0.000,5,0,0,9,0,0,0,0,0,KIA,박헌,27,KIA
0,0,0,-,1,0,0,0,0,0,0,0,0,KIA,이준영,27,KIA
0,0,0,-,1,0,0,0,0,0,0,0,0,KIA,전상현,27,KIA
0,0,0,-,1,0,0,0,0,0,0,0,0,KIA,정해영,27,KIA
0,0,0,-,2,0,0,0,0,0,0,0,0,KIA,조상우,27,KIA
0,0,0,-,2,0,0,0,0,0,0,0,0,KIA,한재승,27,KIA
0,0,0,-,2,0,0,0,0,0,0,0,0,KIA,황동하,27,KIA
3,0,43,0.395,36,17,1,50,10,6,1,0,23,두산,박지훈,1,두산
1,0,26,0.346,9,9,2,27,3,3,0,0,16,두산,홍성호,2,두산
27,1,452,0.338,129,153,20,515,56,89,0,6,242,두산,양의지,3,두산
15,1,131,0.321,34,42,4,142,24,20,1,0,71,두산,안재석,4,두산
27,6,533,0.298,135,159,16,588,72,85,0,8,246,두산,케이브,5,두산
11,2,282,0.284,91,80,4,298,34,19,2,3,107,두산,박준순,6,두산
4,0,83,0.277,33,23,2,89,7,11,1,1,33,두산,임종성,7,두산
9,2,174,0.264,93,46,1,196,23,27,7,1,62,두산,박계범,8,두산
14,4,331,0.263,107,87,4,371,38,41,7,3,121,두산,오명진,9,두산
15,4,459,0.257,131,118,6,542,88,38,7,4,159,두산,정수빈,10,두산
16,0,258,0.248,71,64,7,290,31,29,0,3,101,두산,양석환,11,두산
9,0,215,0.247,99,53,2,241,19,24,4,2,68,두산,김기연,12,두산
4,0,118,0.246,107,29,0,139,30,9,7,0,33,두산,조수행,13,두산
8,1,265,0.242,88,64,1,307,35,16,6,1,77,두산,이유찬,14,두산
12,2,343,0.239,102,82,13,406,42,50,0,2,137,두산,김재환,15,두산
3,0,93,0.237,36,22,2,100,8,10,1,0,31,두산,김동준,16,두산
19,3,356,0.236,114,84,8,396,50,37,2,3,133,두산,강승호,17,두산
7,3,228,0.228,95,52,1,247,21,21,2,3,68,두산,김민석,18,두산
8,0,111,0.225,41,25,1,126,9,10,1,1,36,두산,박준영,19,두산
3,1,81,0.222,34,18,1,87,7,7,2,0,26,두산,추재현,20,두산
10,1,183,0.213,106,39,3,225,17,25,0,1,60,두산,김인태,21,두산
1,0,15,0.200,9,3,0,17,1,0,1,0,4,두산,김준상,22,두산
0,0,36,0.194,16,7,1,37,1,5,0,0,10,두산,김대한,23,두산
1,0,11,0.182,10,2,0,11,0,0,0,0,3,두산,이선우,24,두산
0,0,22,0.136,17,3,0,22,2,1,0,0,3,두산,류현준,25,두산
0,0,17,0.118,10,2,1,21,2,1,0,0,5,두산,김민혁,26,두산
0,0,19,0.105,19,2,0,21,6,2,0,0,2,두산,여동건,27,두산
0,0,12,0.083,22,1,0,12,5,0,0,0,1,두산,전다민,28,두산
0,0,2,0.000,1,0,0,2,0,0,0,0,0,두산,강현구,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,고효준,29,두산
0,0,1,0.000,1,0,0,1,0,0,0,0,0,두산,김성재,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,김재호,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,김정우,29,두산
0,0,0,-,4,0,0,0,0,0,0,0,0,두산,김택연,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,김한중,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,김호준,29,두산
0,0,2,0.000,7,0,0,2,0,0,0,0,0,두산,박민준,29,두산
0,0,7,0.000,6,0,0,7,0,0,0,0,0,두산,박성재,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,박신지,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,박치국,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,양재훈,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,이영하,29,두산
0,0,2,0.000,4,0,0,2,0,0,0,0,0,두산,장승현,29,두산
0,0,3,0.000,3,0,0,3,0,0,0,0,0,두산,천현재,29,두산
0,0,0,-,1,0,0,0,0,0,0,0,0,두산,최원준,29,두산
0,0,0,-,2,0,0,0,0,0,0,0,0,두산,홍민규,29,두산
0,0,2,0.5,2,1,0,2,0,0,0,0,1,키움,이재상,1,키움
37,4,570,0.316,143,180,25,642,102,89,0,3,300,키움,송성문,2,키움
0,0,16,0.313,11,5,0,17,2,2,0,0,5,키움,이주형,3,키움
31,1,459,0.275,120,126,12,506,45,74,0,6,195,키움,최주환,4,키움
3,0,82,0.268,49,22,0,91,8,8,0,1,25,키움,김동헌,5,키움
2,0,19,0.263,12,5,0,20,2,4,0,1,7,키움,변상권,6,키움
15,1,320,0.253,86,81,7,361,33,42,0,3,119,키움,카디네스,7,키움
0,0,4,0.25,7,1,0,6,2,0,0,0,1,키움,김병휘,8,키움
14,2,365,0.247,101,90,11,413,51,50,1,3,141,키움,임지열,9,키움
20,2,318,0.245,104,78,3,340,24,25,7,2,111,키움,김건희,10,키움
22,1,443,0.242,126,107,11,510,54,45,3,0,164,키움,이주형,11,키움
0,0,87,0.241,22,21,2,93,4,15,0,1,27,키움,스톤,12,키움
9,1,321,0.24,115,77,6,356,48,27,3,1,106,키움,어준서,13,키움
8,0,143,0.238,98,34,1,163,15,19,4,1,45,키움,오선진,14,키움
5,0,152,0.237,57,36,1,170,21,11,0,1,44,키움,주성원,15,키움
4,3,132,0.235,51,31,2,139,12,13,1,1,47,키움,임병욱,16,키움
11,2,279,0.233,94,65,5,304,27,25,2,3,95,키움,김태진,17,키움
5,0,182,0.231,77,42,0,207,20,10,3,2,47,키움,전태현,18,키움
11,3,244,0.225,101,55,3,279,33,23,2,2,81,키움,박주홍,19,키움
2,0,27,0.222,9,6,0,29,2,2,0,0,8,키움,김동엽,20,키움
1,0,23,0.217,14,5,0,26,4,2,1,0,6,키움,고영우,21,키움
1,0,37,0.216,14,8,0,41,7,0,1,0,9,키움,이용규,22,키움
2,0,156,0.212,40,33,6,172,17,20,0,0,53,키움,푸이그,23,키움
5,0,120,0.208,62,25,0,128,12,5,4,0,30,키움,김재현,24,키움
3,0,70,0.2,33,14,2,82,4,6,2,0,23,키움,이형종,25,키움
0,0,16,0.188,10,3,0,18,1,1,0,1,3,키움,염승원,26,키움
0,0,11,0.182,6,2,0,13,1,1,0,0,2,키움,강진성,27,키움
3,0,80,0.175,33,14,1,86,5,8,0,1,20,키움,송지후,28,키움
1,0,46,0.174,24,8,2,53,5,4,0,0,15,키움,원성준,29,키움
0,0,42,0.143,38,6,1,45,6,2,0,0,9,키움,박수종,30,키움
0,0,7,0.143,5,1,0,8,1,0,0,0,1,키움,이원석,30,키움
0,0,14,0.143,10,2,0,16,1,2,0,0,2,키움,장재영,30,키움
1,0,51,0.137,27,7,2,59,6,2,1,0,14,키움,여동욱,33,키움
0,0,20,0.100,22,2,0,24,1,1,2,0,2,키움,권혁빈,34,키움
0,0,24,0.083,10,2,0,31,1,0,1,0,2,키움,김웅빈,35,키움
0,0,12,0.083,12,1,0,14,1,0,0,0,1,키움,양현종,35,키움
0,0,0,-,3,0,0,0,0,0,0,0,0,키움,박윤성,37,키움
0,0,0,-,1,0,0,0,0,0,0,0,0,키움,박정훈,37,키움
0,0,0,-,2,0,0,0,0,0,0,0,0,키움,박주성,37,키움
0,0,7,0.000,6,0,0,8,0,0,0,0,0,키움,서유신,37,키움
0,0,0,-,1,0,0,0,0,0,0,0,0,키움,알칸타라,37,키움
0,0,2,0.000,1,0,0,2,0,0,0,0,0,키움,이승원,37,키움
0,0,0,-,1,0,0,0,0,0,0,0,0,키움,이준우,37,키움
0,0,0,-,2,0,0,0,0,0,0,0,0,키움,주승우,37,키움
