BB,ER,ERA,G,H,HBP,HLD,HR,IP,L,R,SO,SV,W,WHIP,WPCT,team_filter,선수명,순위,팀명
1,0,0.0,2,0,0,0,0,1 2/3,0,0,2,0,0,0.6,-,LG,이종준,1,LG
8,2,1.46,12,7,1,4,0,12 1/3,0,2,9,1,1,1.22,1.000,LG,김강률,2,LG
14,4,1.89,23,13,1,0,0,19,1,6,20,0,0,1.42,0.000,LG,이우찬,3,LG
29,15,2.31,64,48,3,7,2,58 1/3,2,16,56,1,3,1.32,0.600,LG,김영우,4,LG
23,12,2.7,38,31,2,1,2,40,2,14,51,21,2,1.35,0.500,LG,유영찬,5,LG
16,14,2.86,8,39,2,0,2,44,2,15,45,0,6,1.25,0.750,LG,톨허스트,6,LG
40,54,3.03,27,163,6,0,9,160 1/3,7,61,107,0,11,1.27,0.611,LG,임찬규,7,LG
36,62,3.23,29,166,8,0,5,173,5,68,133,0,13,1.17,0.722,LG,치리노스,8,LG
46,57,3.39,29,150,4,0,8,151 1/3,6,66,129,0,11,1.3,0.647,LG,손주영,9,LG
49,54,3.5,27,142,1,0,14,139,5,59,121,0,11,1.37,0.688,LG,송승기,10,LG
24,27,3.52,76,60,0,33,7,69,4,28,61,1,6,1.22,0.600,LG,김진성,11,LG
19,21,3.83,55,64,5,5,4,49 1/3,3,24,38,10,3,1.68,0.500,LG,장현식,12,LG
28,13,3.99,32,27,1,2,2,29 1/3,0,13,27,0,1,1.88,1.000,LG,백승현,13,LG
24,31,4.23,14,53,5,0,7,66,4,32,73,0,4,1.17,0.500,LG,에르난데스,14,LG
6,5,4.66,11,12,2,0,0,9 2/3,0,5,5,0,0,1.86,-,LG,우강훈,15,LG
23,25,4.79,42,48,1,4,4,47,2,26,39,3,1,1.51,0.333,LG,이지강,16,LG
16,21,4.89,44,36,5,10,5,38 2/3,4,21,30,4,3,1.34,0.429,LG,박명근,17,LG
11,19,5.18,38,32,2,7,3,33,1,19,25,1,6,1.3,0.857,LG,이정용,18,LG
14,17,5.28,13,35,1,2,3,29,1,17,21,0,0,1.69,0.000,LG,최채흥,19,LG
0,1,5.4,2,2,0,0,2,1 2/3,0,3,2,0,0,1.2,-,LG,김종운,20,LG
7,8,5.54,14,9,1,1,1,13,0,8,14,0,0,1.23,-,LG,배재준,21,LG
18,18,6.15,30,13,0,1,1,26 1/3,3,19,26,0,2,1.18,0.400,LG,함덕주,22,LG
4,18,7.04,5,28,5,0,4,23,1,19,8,0,1,1.39,0.500,LG,코엔 윈,23,LG
1,5,9.0,4,11,0,0,2,5,0,5,6,0,0,2.4,-,LG,김진수,24,LG
9,9,9.0,12,10,0,0,2,9,0,9,6,0,0,2.11,-,LG,성동현,24,LG
4,6,12.46,6,8,1,0,0,4 1/3,0,6,5,0,0,2.77,-,LG,김유영,26,LG
5,2,13.5,2,0,0,0,0,1 1/3,0,2,0,0,0,3.75,-,LG,박시원,27,LG
4,6,20.25,4,1,1,0,1,2 2/3,0,6,3,0,0,1.88,-,LG,정우영,28,LG
2,1,27.0,1,0,2,0,0,1/3,1,1,1,0,0,6.0,0.000,LG,김주온,29,LG
5,3,1.72,11,11,1,0,1,15 2/3,0,3,17,0,0,1.02,-,한화,윤산흠,1,한화
40,36,1.85,28,122,6,0,9,174 2/3,1,39,242,0,17,0.93,0.944,한화,폰세,2,한화
23,16,2.31,69,56,7,16,4,62 1/3,3,18,50,3,3,1.27,0.500,한화,한승혁,3,한화
22,12,2.31,71,29,4,6,0,46 2/3,1,17,40,2,2,1.09,0.667,한화,김범수,4,한화
30,19,2.66,67,49,8,2,2,64 1/3,3,19,70,33,1,1.23,0.250,한화,김서현,5,한화
21,17,2.91,50,34,9,3,6,52 2/3,0,18,82,0,3,1.04,1.000,한화,정우주,6,한화
56,57,2.99,29,126,12,0,13,171 2/3,5,63,202,0,16,1.06,0.762,한화,와이스,7,한화
6,5,3.07,5,16,1,0,0,14 2/3,1,5,8,0,0,1.5,0.000,한화,김기중,8,한화
25,50,3.23,26,144,4,0,12,139 1/3,7,54,122,0,9,1.21,0.563,한화,류현진,9,한화
35,23,3.3,62,57,4,5,5,62 2/3,5,30,58,0,4,1.47,0.444,한화,김종수,10,한화
5,5,3.97,14,14,1,0,0,11 1/3,1,5,8,0,0,1.68,0.000,한화,이태양,11,한화
31,54,4.02,24,112,3,0,7,121,5,57,135,0,11,1.18,0.688,한화,문동주,12,한화
29,27,4.05,68,77,4,5,4,60,3,29,43,2,3,1.77,0.500,한화,조동욱,13,한화
21,31,4.25,73,67,8,15,4,65 2/3,3,35,50,0,4,1.34,0.571,한화,박상원,14,한화
10,24,5.31,47,58,3,3,8,40 2/3,2,25,36,1,5,1.67,0.714,한화,주현상,15,한화
25,33,5.4,22,53,2,0,7,55,8,37,56,0,2,1.42,0.200,한화,황준서,16,한화
38,59,6.58,28,106,8,1,13,80 2/3,7,60,74,0,2,1.79,0.222,한화,엄상백,17,한화
4,8,8.0,5,16,0,0,0,9,1,9,5,0,0,2.22,0.000,한화,이상규,18,한화
7,5,8.44,5,5,0,0,1,5 1/3,0,5,4,0,0,2.25,-,한화,권민규,19,한화
2,4,12.0,3,6,1,0,1,3,0,4,3,0,0,2.67,-,한화,강재민,20,한화
2,3,16.2,2,3,0,0,1,1 2/3,0,3,1,0,0,3.0,-,한화,원종혁,21,한화
3,7,23.63,5,3,3,0,1,2 2/3,0,7,3,0,0,2.25,-,한화,김승일,22,한화
18,12,1.63,68,41,0,0,5,66 1/3,4,13,79,29,5,0.89,0.556,SSG,조병현,1,SSG
26,17,2.01,74,56,0,32,7,76,5,19,66,1,6,1.08,0.545,SSG,이로운,2,SSG
25,19,2.16,76,59,3,34,2,79,6,22,67,3,3,1.06,0.333,SSG,노경은,3,SSG
51,43,2.25,30,121,9,0,13,171 2/3,7,53,245,0,12,1.0,0.632,SSG,앤더슨,4,SSG
12,6,2.42,16,20,8,2,3,22 1/3,0,8,13,0,0,1.43,-,SSG,박기호,5,SSG
44,43,2.87,24,111,8,0,9,134 2/3,4,51,137,0,11,1.15,0.733,SSG,화이트,6,SSG
17,21,3.02,69,60,6,21,7,62 2/3,2,23,64,1,5,1.23,0.714,SSG,김민,7,SSG
10,7,3.1,23,18,3,1,0,20 1/3,0,7,13,0,0,1.38,-,SSG,김택형,8,SSG
29,19,3.31,51,44,5,3,5,51 2/3,2,24,33,0,6,1.41,0.750,SSG,박시후,9,SSG
47,26,3.84,34,49,7,2,1,61,4,28,64,0,4,1.57,0.500,SSG,김건우,10,SSG
23,29,4.1,39,71,3,1,6,63 2/3,2,33,42,0,2,1.48,0.500,SSG,최민준,11,SSG
18,17,4.37,42,42,1,3,0,35,0,19,27,1,2,1.71,1.000,SSG,한두솔,12,SSG
26,26,4.56,33,47,5,0,5,51 1/3,5,27,54,0,1,1.42,0.167,SSG,전영준,13,SSG
49,74,4.79,27,154,4,0,12,139,9,79,132,0,10,1.46,0.526,SSG,김광현,14,SSG
38,60,5.24,22,109,5,0,16,103,7,61,59,0,4,1.43,0.364,SSG,문승원,15,SSG
30,38,5.86,20,70,3,0,8,58 1/3,4,40,36,0,2,1.71,0.333,SSG,송영진,16,SSG
6,12,6.23,13,21,2,0,5,17 1/3,0,13,11,0,0,1.56,-,SSG,최현석,17,SSG
3,1,6.75,2,1,0,0,0,1 1/3,0,1,0,0,0,3.0,-,SSG,서진용,18,SSG
18,15,7.11,5,15,5,0,4,19,2,17,10,0,0,1.74,0.000,SSG,박종훈,19,SSG
12,16,9.19,10,19,0,0,2,15 2/3,0,16,14,0,0,1.98,-,SSG,정동윤,20,SSG
0,0,0.0,2,1,0,1,0,2/3,0,0,0,0,0,1.5,-,삼성,김대우,1,삼성
2,0,0.0,3,0,0,0,0,2 2/3,0,0,1,0,0,0.75,-,삼성,양현,1,삼성
0,0,0.0,1,2,0,0,0,1,0,0,1,0,0,2.0,-,삼성,이상민,1,삼성
1,0,0.0,1,1,1,0,0,1,0,0,0,0,0,2.0,-,삼성,홍원표,1,삼성
2,1,1.42,6,7,0,0,0,6 1/3,0,1,5,0,1,1.42,1.000,삼성,이재익,5,삼성
7,7,1.95,29,19,2,3,1,32 1/3,0,7,31,1,2,0.8,1.000,삼성,백정현,6,삼성
37,23,2.64,15,56,6,0,6,78 1/3,4,31,84,0,4,1.19,0.500,삼성,가라비토,7,삼성
35,57,2.7,29,175,4,0,17,190 1/3,8,65,132,0,14,1.1,0.636,삼성,후라도,8,삼성
5,3,3.0,11,7,0,4,0,9,2,3,9,0,0,1.33,0.000,삼성,이재희,9,삼성
27,60,3.24,27,157,6,0,20,166 2/3,4,66,108,0,12,1.1,0.750,삼성,원태인,10,삼성
19,24,3.43,33,67,9,2,3,63,3,29,45,0,3,1.37,0.500,삼성,양창섭,11,삼성
26,26,3.71,61,60,3,8,5,63,2,36,51,0,3,1.37,0.600,삼성,이승민,12,삼성
34,22,3.96,64,49,2,18,3,50,3,25,56,0,2,1.66,0.400,삼성,배찬승,13,삼성
12,23,4.14,10,51,3,0,5,50,3,26,35,0,4,1.26,0.571,삼성,레예스,14,삼성
3,3,4.5,5,9,0,0,0,6,0,3,2,0,0,2.0,-,삼성,송은범,15,삼성
26,33,4.55,72,65,2,19,8,65 1/3,6,34,74,2,2,1.39,0.250,삼성,김태훈,16,삼성
21,14,4.73,26,19,0,1,3,26 2/3,1,18,16,0,0,1.5,0.000,삼성,육선엽,17,삼성
51,68,4.92,27,128,12,0,13,124 1/3,7,72,109,0,8,1.44,0.533,삼성,최원태,18,삼성
13,32,5.05,62,57,1,3,10,57,7,34,42,13,4,1.23,0.364,삼성,김재윤,19,삼성
15,12,5.14,11,25,1,0,3,21,1,13,19,0,0,1.9,0.000,삼성,김대호,20,삼성
7,7,5.25,15,17,1,2,5,12,0,8,5,0,1,2.0,1.000,삼성,임창민,21,삼성
46,61,5.42,25,121,9,0,10,101 1/3,9,64,74,0,4,1.65,0.308,삼성,이승현,22,삼성
11,25,6.31,42,43,1,11,9,35 2/3,1,26,29,0,2,1.51,0.667,삼성,이승현,23,삼성
29,39,6.34,58,54,2,3,7,55 1/3,4,44,69,9,7,1.5,0.636,삼성,이호성,24,삼성
14,16,6.97,15,27,2,0,1,20 2/3,1,16,22,0,0,1.98,0.000,삼성,황동재,25,삼성
3,8,8.31,11,15,0,0,1,8 2/3,0,8,6,0,0,2.08,-,삼성,오승환,26,삼성
1,1,9.0,2,1,0,0,0,1,0,1,1,0,0,2.0,-,삼성,최성훈,27,삼성
1,3,27.0,3,3,1,0,0,1,0,4,1,0,0,4.0,-,삼성,최충연,28,삼성
0,4,36.0,1,3,2,0,0,1,1,4,0,0,0,3.0,0.000,삼성,정민성,29,삼성
2,2,2.0,7,13,0,0,0,9,0,2,5,0,1,1.67,1.000,KT,최용준,1,KT
3,12,2.49,52,44,4,9,2,43 1/3,2,12,23,0,1,1.08,0.333,KT,우규민,2,KT
9,12,2.61,39,31,2,5,4,41 1/3,0,12,30,0,3,0.97,1.000,KT,이상동,3,KT
4,2,2.7,6,4,0,0,1,6 2/3,0,2,9,0,0,1.2,-,KT,박건우,4,KT
29,56,3.16,28,166,15,0,9,159 2/3,7,65,154,0,11,1.22,0.611,KT,고영표,5,KT
29,51,3.25,25,149,3,0,6,141 1/3,7,57,121,1,9,1.26,0.563,KT,소형준,6,KT
19,10,3.25,19,20,0,0,3,27 2/3,0,11,29,0,1,1.41,1.000,KT,문용익,7,KT
51,49,3.34,24,126,4,0,9,132,8,55,113,0,11,1.34,0.579,KT,오원석,8,KT
19,20,3.46,13,57,2,2,2,52,3,25,41,0,3,1.46,0.500,KT,패트릭,9,KT
34,26,3.55,65,66,1,1,9,66,6,31,73,35,5,1.52,0.455,KT,박영현,10,KT
12,25,3.84,58,66,3,13,6,58 2/3,0,30,55,1,5,1.33,1.000,KT,손동현,11,KT
43,70,3.94,31,168,8,1,15,160,9,82,163,0,9,1.32,0.500,KT,헤이수스,12,KT
7,6,3.95,21,18,0,4,0,13 2/3,1,8,11,0,0,1.83,0.000,KT,전용주,13,KT
13,20,4.43,34,48,0,0,3,40 2/3,1,23,19,0,0,1.5,0.000,KT,주권,14,KT
15,29,5.05,57,62,1,11,5,51 2/3,3,30,36,0,4,1.49,0.571,KT,김민수,15,KT
7,5,5.19,10,11,1,0,0,8 2/3,0,7,6,0,0,2.08,-,KT,임준형,16,KT
35,33,5.21,52,56,1,14,8,57,3,35,45,0,0,1.6,0.000,KT,원상현,17,KT
0,7,5.4,3,17,1,0,2,11 2/3,2,7,3,0,1,1.46,0.333,KT,조이현,18,KT
46,59,5.4,18,104,5,0,13,98 1/3,10,69,60,0,3,1.53,0.231,KT,쿠에바스,18,KT
11,17,5.67,8,38,0,0,2,27,3,17,23,0,2,1.81,0.400,KT,배제성,20,KT
5,8,6.17,10,12,2,0,1,11 2/3,0,8,8,0,0,1.46,-,KT,이채호,21,KT
12,18,8.68,20,27,1,0,4,18 2/3,1,19,9,0,1,2.09,0.500,KT,최동환,22,KT
8,5,10.38,4,3,1,0,0,4 1/3,0,5,4,0,0,2.54,-,KT,김재원,23,KT
3,5,13.5,3,7,0,0,2,3 1/3,0,5,4,0,0,3.0,-,KT,김동현,24,KT
2,3,16.2,2,4,0,0,0,1 2/3,0,3,1,0,0,3.6,-,KT,한차현,25,KT
4,8,16.62,6,9,1,0,0,4 1/3,0,8,3,0,0,3.0,-,KT,이정현,26,KT
1,2,18.0,1,3,0,0,1,1,0,2,1,0,0,4.0,-,KT,강백호,27,KT
7,10,24.55,2,7,1,0,1,3 2/3,1,10,1,0,0,3.82,0.000,KT,강건,28,KT
0,0,0.0,1,0,0,0,0,1/3,0,0,0,0,0,0.0,-,NC,데이비슨,1,NC
17,14,3.07,44,39,3,21,3,41,3,17,32,0,3,1.37,0.500,NC,김영규,2,NC
28,24,3.27,62,50,6,0,6,66,3,27,57,29,4,1.18,0.571,NC,류진욱,3,NC
45,27,3.42,75,52,9,20,5,71,3,30,68,6,4,1.37,0.571,NC,김진호,4,NC
1,4,3.48,3,13,0,0,1,10 1/3,0,4,9,0,0,1.35,-,NC,구창모,5,NC
55,65,3.51,29,131,3,0,17,166 2/3,7,75,209,0,16,1.12,0.696,NC,라일리,6,NC
35,28,4.27,68,47,11,24,3,59,4,34,49,2,2,1.39,0.333,NC,배재환,7,NC
33,37,4.29,72,84,11,12,2,77 2/3,7,43,59,2,7,1.51,0.500,NC,전사민,8,NC
19,24,4.41,50,52,1,7,4,49,1,28,34,0,6,1.45,0.857,NC,손주환,9,NC
67,87,4.53,32,180,10,0,18,173,12,98,149,0,7,1.43,0.368,NC,로건,10,NC
